Index,Alcohol,Malic,Ash,Alacalinity,Magnesium,Phenols,Flavanoids,Nonflavanoids,Proanthocyanins,Color,Hue,Dilution,Proline,cluster
1,1.514340767,-0.560668221,0.23139979,-1.166303174,1.908521507,0.806721729,1.031908069,-0.657707799,1.221438453,0.251008784,0.361158491,1.84272147,1.010159388,1
2,0.245596828,-0.498008556,-0.825667215,-2.483840525,0.01809398,0.567048088,0.731565283,-0.818410597,-0.543188717,-0.292496232,0.404908465,1.110317231,0.962526349,1
3,0.196325219,0.021171524,1.106213863,-0.267982252,0.088109814,0.806721729,1.212113741,-0.497005002,2.129959372,0.268262912,0.317408517,0.786369202,1.3912237,1
4,1.6867914,-0.345835084,0.486553895,-0.806974805,0.928299826,2.484437221,1.462399395,-0.979113395,1.029251335,1.182731669,-0.426341036,1.180740715,2.3280068,1
5,0.294868437,0.22705328,1.835225591,0.450674485,1.278378998,0.806721729,0.6614853,0.226157589,0.400275314,-0.318377423,0.361158491,0.448336476,-0.037767469,1
6,1.47738706,-0.515911317,0.304300963,-1.286079296,0.858283992,1.55769914,1.362285134,-0.175599406,0.662348656,0.729810822,0.404908465,0.335658901,2.232740722,1
7,1.711427204,-0.41744613,0.304300963,-1.465743481,-0.261969358,0.327374446,0.491291055,-0.497005002,0.679820212,0.082781041,0.273658544,1.363841775,1.724654973,1
8,1.304936428,-0.16680747,0.887510345,-0.567422559,1.488426501,0.487156874,0.481279629,-0.416653603,-0.595603386,-0.003489596,0.448658438,1.363841775,1.740532653,1
9,2.253414907,-0.623327885,-0.716315456,-1.645407665,-0.191953523,0.806721729,0.95181666,-0.577356401,0.679820212,0.061213382,0.536158386,0.335658901,0.94664867,1
10,1.058578381,-0.882917925,-0.351809592,-1.046527051,-0.121937689,1.094330099,1.122010905,-1.139816193,0.452689983,0.93254682,0.22990857,1.321587684,0.94664867,1
11,1.354208037,-0.15785609,-0.242457833,-0.447646437,0.368173151,1.046395371,1.29220515,-1.139816193,1.378682458,0.298457635,1.279907939,0.786369202,2.423272878,1
12,1.378843842,-0.766549976,-0.16955666,-0.806974805,-0.331985192,-0.151972837,0.401188219,-0.818410597,-0.036513589,-0.025057256,0.929908149,0.29340481,1.692899614,1
13,0.923081456,-0.542765459,0.158498617,-1.046527051,-0.752080198,0.487156874,0.731565283,-0.577356401,0.382803758,0.233754657,0.842408202,0.406082385,1.819921051,1
14,2.154871688,-0.542765459,0.085597444,-2.423952463,-0.61204853,1.286069013,1.662627919,0.547563185,2.129959372,0.147484019,1.279907939,0.166642538,1.280079943,1
15,1.699109302,-0.41744613,0.049146858,-2.244288279,0.158125648,1.605633868,1.612570788,-0.577356401,2.392032714,1.053325713,1.061158071,0.546929354,2.540767708,1
16,0.775266628,-0.471154414,1.215565622,-0.687198682,0.858283992,0.886612943,0.881736676,-0.497005002,-0.228700707,0.967055075,1.41115786,0.377912991,1.788165692,1
17,1.600566084,-0.372689226,1.288466795,0.151234178,1.418410667,0.806721729,1.111999479,-0.255950805,0.662348656,0.492566569,0.492408412,0.053964962,1.692899614,1
18,1.021624674,-0.68598755,0.923960931,0.151234178,1.068331495,1.046395371,1.37229656,0.306508988,0.225559753,0.665107844,0.754908255,-0.058712613,1.216569224,1
19,1.465069158,-0.668084789,0.413652722,-0.896806897,0.578220655,1.605633868,1.902902148,-0.336302204,0.470161539,1.570949537,1.192407992,0.29340481,2.963113987,1
20,0.78758453,0.683573695,0.705257413,-1.286079296,1.138347329,0.646939302,1.001873791,-1.541573188,0.120730416,0.018078063,0.011158701,1.053978443,0.311541483,1
21,1.304936428,-0.632279266,-0.315359006,-1.046527051,1.838505673,1.126286585,1.142033757,-0.979113395,0.889478886,0.255322316,0.57990836,1.546942835,0.105131647,1
22,-0.086986535,1.310170343,1.03331269,-0.267982252,0.158125648,0.183570261,0.381165367,-0.898761996,0.679820212,-0.240733849,0.317408517,1.279333594,0.073376288,1
23,0.873809846,-0.42639751,-0.023754315,-0.866862867,0.088109814,0.503135117,0.851702398,-0.738059198,0.173145084,-0.542681081,0.667408307,1.955399046,0.91489331,1
24,-0.185529754,-0.659133408,0.559455067,-0.507534498,-0.331985192,0.295417961,0.341119662,-0.818410597,-0.228700707,-0.486605166,0.57990836,1.43426526,0.851382592,1
25,0.615133898,-0.471154414,0.887510345,0.151234178,-0.261969358,0.375309174,0.581393891,-0.657707799,0.120730416,-0.663459973,0.711158281,1.701874501,0.311541483,1
26,0.060828293,-0.256321277,3.110996114,1.648435713,1.698474004,0.535091602,0.651473874,0.868968781,0.574990876,-0.637578782,0.754908255,0.828623293,0.263908444,1
27,0.479636972,-0.506959936,0.923960931,-1.01658302,-0.472016861,0.886612943,0.911770955,-0.175599406,-0.246172263,-0.111327893,-0.163841194,0.856792686,1.422979059,1
28,0.368775851,-0.55171684,-0.825667215,-0.747086744,-0.402001026,0.167592018,0.160913991,-0.738059198,-0.420887824,-0.477978102,0.273658544,0.222981325,1.708777293,1
29,1.070896284,-0.390591988,1.580071486,-0.028430007,0.50820482,1.046395371,0.941805234,0.065454791,0.295445977,-0.240733849,1.279907939,1.110317231,0.533828998,1
30,1.255664818,-0.587522363,-0.57051311,-1.046527051,-0.261969358,0.567048088,0.301073957,-0.818410597,0.679820212,-0.154463212,0.361158491,1.377926472,0.91489331,1
31,0.898445651,-0.748647215,1.215565622,0.899834945,0.088109814,1.126286585,1.222125167,-0.577356401,1.378682458,0.276889975,1.017408097,0.138473144,1.708777293,1
32,0.713677116,-0.605425124,-0.023754315,-0.118262099,0.438188986,0.902591186,1.16205661,-1.139816193,0.627405544,0.7945138,0.57990836,0.377912991,2.439150558,1
33,0.836856139,-0.453251652,-0.023754315,-0.687198682,0.298157317,0.199548504,0.6614853,0.467211786,0.662348656,-0.525426953,1.192407992,0.363828294,0.771994193,1
34,0.935399358,-0.721793073,1.215565622,0.001514024,2.258600679,1.046395371,0.711542431,1.110022978,-0.420887824,0.147484019,1.279907939,0.546929354,1.550000497,1
35,0.6274518,-0.480105794,1.03331269,-0.14820613,0.718252323,0.087700804,0.501302481,-0.577356401,-0.088928258,-0.370139806,0.623658333,0.363828294,1.105425466,1
36,0.590498093,-0.471154414,0.158498617,0.300954331,0.01809398,0.646939302,0.95181666,-0.818410597,0.470161539,0.018078063,0.361158491,1.208910109,0.549706678,1
37,0.344140046,-0.623327885,1.725873832,-1.196247204,0.718252323,0.487156874,0.651473874,-0.175599406,-0.403416268,-0.197598531,0.57990836,0.237066022,0.422685241,1
38,0.060828293,-0.614376505,0.668806826,-0.447646437,-0.121937689,0.247483232,0.401188219,-0.577356401,-0.263643819,-0.348572146,0.711158281,-0.143220794,1.137180826,1
39,0.085464098,-0.748647215,-0.971469561,-1.196247204,-0.121937689,0.167592018,0.611428169,-0.657707799,-0.385944712,-0.585816399,0.973658123,0.11030375,0.867260271,1
40,1.502022865,1.480246576,0.523004481,-1.884959911,1.978537342,1.126286585,1.011885217,-1.300518991,0.854535774,0.018078063,-0.295091115,1.293418291,0.041620929,1
41,0.689041312,-0.560668221,-0.206007247,-0.986638989,1.208363164,1.365960227,1.262170872,-0.175599406,1.308796233,0.462371846,-0.032591273,1.082147837,0.152764686,1
42,0.504272777,1.345975865,-0.898568388,-0.208094191,-0.682064364,0.247483232,0.651473874,-0.738059198,-0.193757594,-0.335631551,-0.207591167,0.546929354,0.91489331,1
43,1.083214186,-0.399543368,0.814609172,-1.345967358,0.088109814,1.525742654,1.532479379,-1.541573188,0.190616641,0.160424615,-0.338841089,1.335672381,1.105425466,1
44,0.294868437,1.471295195,-0.278908419,-0.59736659,0.228141483,0.551069845,0.601416743,-0.336302204,0.120730416,-0.301123296,-0.601340931,0.546929354,-0.212421946,1
45,0.060828293,-0.506959936,-0.971469561,-0.747086744,0.50820482,1.126286585,0.971839512,-0.657707799,0.767177993,-0.007803128,-0.338841089,1.039893746,0.43856292,1
46,1.489704963,1.525003479,0.267850376,-0.17815016,0.788268158,0.886612943,0.621439595,-0.497005002,-0.595603386,0.078467509,-0.382591062,1.011724352,1.057792427,1
47,1.699109302,1.122191348,-0.315359006,-1.046527051,0.158125648,1.525742654,1.142033757,-0.738059198,1.046722891,-0.068192574,0.361158491,1.166656018,1.010159388,1
48,1.107849991,-0.587522363,-0.898568388,-1.046527051,0.088109814,1.286069013,1.362285134,-1.220167592,0.959365111,0.44943125,-0.207591167,1.011724352,0.756116514,1
49,1.354208037,-0.283175419,0.122048031,-0.208094191,0.228141483,0.726830515,0.891748103,-0.336302204,1.378682458,0.492566569,0.492408412,0.194811931,0.994281709,1
50,1.1571216,-0.542765459,-0.351809592,-0.627310621,0.578220655,0.934547672,1.512456526,-0.336302204,0.854535774,1.657220175,0.711158281,0.687776323,1.629388895,1
51,0.060828293,-0.542765459,-1.190173079,-2.124512156,-0.542032695,0.678895787,1.242148019,-1.541573188,2.304674933,0.923919756,0.711158281,0.420167082,1.280079943,1
52,1.021624674,-0.614376505,0.851059758,-0.687198682,-0.402001026,0.247483232,0.961828086,-1.139816193,1.221438453,0.233754657,1.236157966,1.06806314,1.645266575,1
53,1.009306772,-0.524862698,0.194949204,-1.645407665,0.788268158,2.532371949,1.71268505,-0.336302204,0.487633095,0.859216778,0.22990857,0.913131474,1.40710138,1
54,0.94771726,-0.390591988,1.142664449,-0.717142713,1.068331495,1.126286585,0.761599562,0.226157589,0.155673528,0.535701888,0.754908255,0.448336476,1.994575527,1
55,0.910763553,-0.596473743,-0.424710765,-0.926750928,1.278378998,0.487156874,0.87172525,-1.220167592,0.050844191,0.341592953,-0.163841194,0.828623293,0.994281709,1
56,0.689041312,-0.542765459,0.340751549,0.300954331,1.138347329,1.062373614,0.751588136,-1.300518991,1.500983351,0.514134228,0.098658649,0.589183445,1.184813865,1
